date,Cumulative,Additional
2020-02-17,29,+1
2020-02-18,30,+1
2020-02-19,31,+1
2020-02-20,51,+20
2020-02-21,104,+53
2020-02-22,204,+100
2020-02-23,433,+229
2020-02-24,602,+169
2020-02-25,833,+231
2020-02-26,977,+144
2020-02-27,1261,+284
2020-02-28,1766,+505
2020-02-29,2337,+571
2020-03-01,3150,+813
2020-03-02,4212,+1062
2020-03-03,4812,+600
2020-03-04,5328,+516
2020-03-05,5766,+438
2020-03-06,6284,+518
2020-03-07,6767,+483
2020-03-08,7134,+367
2020-03-09,7382,+248
2020-03-10,7513,+131
2020-03-11,7755,+242
2020-03-12,7869,+114
2020-03-13,7979,+110
2020-03-14,8086,+107
2020-03-15,8162,+76
2020-03-16,8236,+74
2020-03-17,8320,+84
2020-03-18,8413,+93
2020-03-19,8565,+152
2020-03-20,8652,+87
2020-03-21,8799,+147
2020-03-22,8897,+98
2020-03-23,8961,+64
2020-03-24,9037,+76
2020-03-25,9137,+100
2020-03-26,9241,+104
2020-03-27,9332,+91
2020-03-28,9478,+146
2020-03-29,9583,+105
2020-03-30,9661,+78
2020-03-31,9786,+125
2020-04-01,9887,+101
2020-04-02,9976,+89
2020-04-03,10062,+86
2020-04-04,10156,+94
2020-04-05,10237,+81
2020-04-06,10284,+47
2020-04-07,10331,+47
2020-04-08,10384,+53
2020-04-09,10423,+39
2020-04-10,10450,+27
2020-04-11,10480,+30
2020-04-12,10512,+32
2020-04-13,10537,+25
2020-04-14,10564,+27
2020-04-15,10591,+27
2020-04-16,10613,+22
2020-04-17,10635,+22
2020-04-18,10653,+18
2020-04-19,10661,+8
2020-04-20,10674,+13
2020-04-21,10683,+9
2020-04-22,10694,+11
2020-04-23,10702,+8
2020-04-24,10708,+6
2020-04-25,10718,+10
2020-04-26,10728,+10
2020-04-27,10738,+10
2020-04-28,10752,+14
2020-04-29,10761,+9
2020-04-30,10765,+4
2020-05-01,10774,+9
2020-05-02,10780,+6
2020-05-03,10793,+13
2020-05-04,10801,+8
2020-05-05,10804,+3
2020-05-06,10806,+2
2020-05-07,10810,+4
2020-05-08,10822,+12
2020-05-09,10840,+18
2020-05-10,10874,+34
2020-05-11,10909,+35
2020-05-12,10936,+27
2020-05-13,10962,+26
2020-05-14,10991,+29
2020-05-15,11018,+27
2020-05-16,11037,+19
2020-05-17,11050,+13
2020-05-18,11065,+15
2020-05-19,11078,+13
2020-05-20,11110,+32
2020-05-21,11122,+12
2020-05-22,11142,+20
2020-05-23,11165,+23
2020-05-24,11190,+25
2020-05-25,11206,+16
2020-05-26,11225,+19
2020-05-27,11265,+40
2020-05-28,11344,+79
2020-05-29,11402,+58
2020-05-30,11441,+39
2020-05-31,11468,+27
2020-06-01,11503,+35
2020-06-02,11541,+38
